@RELATION nis

@ATTRIBUTE newsId string
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE count NUMERIC


@DATA
160-bhagat-singh-files-lying-inaccessible-in-pak,10.500916290378598,2879
16gb-oneplus-one-launched-at-rs-18-999,8.914528301886781,530
17-tiger-deaths-in-six-states-this-year,3.8583716814159277,113
172-indian-fishermen-released-by-pakistan,3.800608695652173,23
18-cases-of-honour-killing-registered-in-2014,11.306999999999999,2
182-youths-arrested-for-impersonation-in-bihar,7.576652032520328,615
19-people-killed-in-attack-on-tunisia-museum,7.32379634094457,7051
2-8-kgs-of-gold-recovered-at-mumbai-airport,3.3223333333333334,3
2-commandos-killed-in-gadchiroli-encounter,5.240524412296571,1659
2-indonesia-planes-crashed-at-air-show-practice,4.687878980891722,314
2-new-vampire-crabs-species-discovered,6.74983793103449,290
20-min-walk-per-day-prevents-early-death,1.395,2
24-killed-in-twin-bombings-in-nigeria,3.9148536585365856,41
25-soldiers-injured-in-j-amp-amp-k-road-mishap,5.330739205526777,1737
3-army-men-killed-as-egypt-reopens-gaza-crossing,10.120777777777779,9
3-indians-shortlisted-for-one-way-trip-to-mars,6.2141666666666655,30
3-killed-in-attack-on-police-station-in-jammu,5.041184971098266,346
3-killed-in-jammu-and-kashmir-landslides,4.487989106753814,459
3-uk-judges-sacked-for-watching-porn,8.277630484988453,2165
30-feared-dead-in-ukraine-mine-blast,5.51,1
300-rape-cases-in-delhi-in-just-2-months,9.722666666666667,9
33-quota-for-women-in-uts-police-forces,5.428010101010099,792
35-is-militants-killed-in-syria,2.2688399999999995,25
4-chinese-killed-in-bombing-by-myanmar-air-force,4.92757803468208,173
4-killed-23-injured-in-manipur-blast,3.6697547169811324,53
4-pro-isis-activists-arrested-in-india-in-2014,3.642571428571429,14
4-teachers-held-for-leaking-class-xii-paper,7.530721488595441,833
40-iphone-users-interested-in-apple-watch-poll,7.974161538461537,260
40-new-stores-granted-licence-to-sell-tamiflu,5.483879120879119,91
40-ticketless-cops-found-hiding-in-train-toilets,15.414848203066093,3979
400-kg-of-party-drug-meow-seized-in-mumbai,3.5418749999999997,16
42-indians-may-quit-jobs-in-2-yrs-report,1.9529999999999998,2
42-yr-old-holds-record-for-world-s-largest-hips,14.3048606557377,122
45-syrians-dead-in-new-year-celebrations-attack,4.978951834862384,436
46k-twitter-accounts-linked-to-is-study,2.3440000000000003,5
48-indian-fishermen-captured-by-pak,1.5016666666666667,3
50-more-swine-flu-deaths-toll-reaches-1289,1.9100000000000001,5
509-essential-drugs-get-cheaper-govt,5.3865,2
55-aap-mlas-sign-letter-against-yadav-bhushan,6.104416666666668,12
59-women-in-india-are-anaemic-study,6.275802006335806,1894
6-indians-in-forbes-power-businesswomen-list,9.632602040816328,98
6-men-molest-beat-girl-make-video-of-incident,8.290227304714994,1421
6-yr-old-receives-thank-you-note-from-modi,12.6117043658261,5314
60-year-old-abducted-by-prospective-bride,9.925820574162689,418
61-year-old-woman-bears-her-own-grandchild,21.229333333333333,3
62-chopper-crashes-are-human-error-parrikar,4.290103092783506,194
62-kids-fall-ill-after-eating-poisonous-seeds,1.2686315789473683,19
685-ceasefire-violations-by-pak-in-8-months,3.282966666666667,30
7-dead-in-afghanistan-suicide-bomb-blast,5.232722880583414,5485
7-youths-drown-in-lake-while-taking-selfies,8.721363715277795,3456
7-yr-old-with-cancer-plays-mumbai-cop-for-a-day,2.0093333333333336,3
70-bodies-found-in-a-nigerian-town,5.4961715328467164,274
70-kashmiri-youth-join-insurgency-last-year,4.736646153846152,65
75-journalists-killed-in-syria-since-2011,5.741071402682137,2759
78-more-swine-flu-deaths-in-past-24-hours,3.3280000000000003,1
8-killed-in-czech-restaurant-shooting,2.6513947368421054,38
80-militants-7-pak-soldiers-killed-in-clashes,5.415631828978621,1263
80-percent-syrians-living-in-poverty-report,3.1743023255813956,43
84-fresh-cases-of-swine-flu-in-delhi,5.682776515151515,264
89-schoolboys-abducted-in-south-sudan,5.752613660619003,937
9-year-old-girl-with-non-stop-hiccups-since-nov,13.01275,4
90-parents-prefer-boys-over-girls-in-haryana,6.547,7
99-nris-died-in-terrorist-attacks-in-last-3-yrs,5.410012499999999,80
a-month-in-office-aap-releases-report-card,4.041819587628866,194
aai-employees-to-strike-work-on-march-11,3.7172592592592597,27
aamir-approached-to-judge-masterchef-4-finale,4.771008620689655,116
aamir-clarifies-stance-on-aib-roast-comment,19.649666666666665,3
aamir-khan-quits-non-veg-turns-vegetarian,6.9218,15
aamir-khan-weighs-90-kg-for-dangal,6.21833908045977,174
aamir-to-play-an-alcoholic-post-dangal,6.944953313253013,664
aamir-turned-down-byomkesh-bakshy-offer,11.285245614035087,114
aap-ahead-of-bjp-in-terms-of-voteshare-survey,2.207,1
aap-crisis-yogendra-yadav-offers-to-resign,3.716,1
aap-decides-to-expand-in-other-states,4.987201860465121,2150
aap-demands-apology-from-bjp-govt,4.794899999999999,50
aap-forms-think-tank-for-delhi,6.495635170603677,381
aap-gathering-funds-from-fake-companies,1.0590000000000002,2
aap-govt-announces-cheaper-power-and-free-water,7.88451851851852,81
aap-govt-orders-for-cheaper-power-and-free-water,4.97575,36
aap-govt-sets-up-wifi-task-force,7.460751491053678,2515
aap-leaders-may-join-anna-s-protest,6.657542857142856,175
aap-leaders-meet-yogendra-yadav,5.385855447680684,927
aap-rift-mayank-gandhi-threatens-to-quit,8.560749999999999,4
aap-seeks-public-opinion-on-wifi-implementation,6.413871980676326,414
aap-starts-a-campaign-against-land-acquisition,6.976851616994292,1577
aap-stops-termination-of-contractual-employees,6.671446428571428,56
aap-suspends-rajesh-garg-after-audiotape-release,5.764406956521736,575
aap-to-deploy-women-guards-across-delhi,3.8190931677018627,161
aap-to-expand-in-4-states-in-next-5-yrs,1.354,1
aap-to-launch-drug-awareness-programme-in-punjab,3.689931034482758,29
